Date,LIQ_PS
1976-07-30,-0.02705599
1976-08-31,0.01794591
1976-09-30,-0.01542257
1976-10-29,0.0038574
1976-11-30,-0.02387473
1976-12-31,-0.01240966
1977-01-31,-0.03064272
1977-02-28,-0.00984019
1977-03-31,0.01079852
1977-04-29,-0.02492795
1977-05-31,0.01811865
1977-06-30,0.02199312
1977-07-29,0.00119646
1977-08-31,0.03132657
1977-09-30,0.01051654
1977-10-31,-0.01108198
1977-11-30,0.00253713
1977-12-30,-0.00612393
1978-01-31,0.00672525
1978-02-28,0.00010469
1978-03-31,0.01720571
1978-04-28,0.03084663
1978-05-31,0.01378779
1978-06-30,0.01089029
1978-07-31,0.03138675
1978-08-31,-0.00088631
1978-09-29,-0.02730711
1978-10-31,0.04280582
1978-11-30,-0.0316212
1978-12-29,0.00199465
1979-01-31,-0.01029938
1979-02-28,-0.02811765
1979-03-30,-0.00695441
1979-04-30,0.01849867
1979-05-31,-0.02188811
1979-06-29,-0.01669465
1979-07-31,-0.01719865
1979-08-31,0.01475767
1979-09-28,-0.00978073
1979-10-31,-0.00030052
1979-11-30,-0.06750272
1979-12-31,-0.01807817
1980-01-31,0.00013109
1980-02-29,0.02114945
1980-03-31,0.02794556
1980-04-30,-0.01240179
1980-05-30,-0.0078206
1980-06-30,0.01010759
1980-07-31,-0.00569326
1980-08-29,0.01373905
1980-09-30,0.00919783
1980-10-31,0.02758604
1980-11-28,0.03062221
1980-12-31,0.02748807
1981-01-30,0.03893398
1981-02-27,0.00211983
1981-03-31,0.01393817
1981-04-30,-0.01912218
1981-05-29,-0.02798762
1981-06-30,0.06094841
1981-07-31,-0.01241394
1981-08-31,-0.00142182
1981-09-30,0.09223195
1981-10-30,-0.02465792
1981-11-30,0.06060739
1981-12-31,0.00907384
1982-01-29,-0.01978417
1982-02-26,-0.01144574
1982-03-31,0.04354018
1982-04-30,-0.02399156
1982-05-28,0.02935751
1982-06-30,0.04970968
1982-07-30,-0.01586295
1982-08-31,-0.00509109
1982-09-30,0.04186289
1982-10-29,-0.03783243
1982-11-30,0.01049033
1982-12-31,-0.03135686
1983-01-31,-0.05475749
1983-02-28,-0.0312086
1983-03-31,0.04017853
1983-04-29,0.03559141
1983-05-31,0.0181668
1983-06-30,0.00092081
1983-07-29,0.04384996
1983-08-31,0.04344734
1983-09-30,0.01391928
1983-10-31,0.05772609
1983-11-30,-0.07196858
1983-12-30,0.0500249
1984-01-31,0.0652534
1984-02-29,0.0052176
1984-03-30,0.00941229
1984-04-30,0.00409888
1984-05-31,0.02360299
1984-06-29,-0.00288699
1984-07-31,0.02081929
1984-08-31,-0.03492146
1984-09-28,0.02426426
1984-10-31,-0.00664306
1984-11-30,0.01563082
1984-12-31,-0.00023396
1985-01-31,-0.01660344
1985-02-28,0.02277367
1985-03-29,0.03882319
1985-04-30,0.03804409
1985-05-31,-0.00808688
1985-06-28,0.00855668
1985-07-31,-0.01828073
1985-08-30,0.02600935
1985-09-30,0.01085101
1985-10-31,0.05068405
1985-11-29,0.00714591
1985-12-31,-0.01941905
1986-01-31,0.01882153
1986-02-28,0.00280428
1986-03-31,0.03946652
1986-04-30,-0.00513904
1986-05-30,0.02732007
1986-06-30,0.05863968
1986-07-31,-0.01490146
1986-08-29,-0.02610917
1986-09-30,0.04365573
1986-10-31,0.01596314
1986-11-28,-0.03037115
1986-12-31,-0.01180831
1987-01-30,-0.0733435
1987-02-27,-0.04018167
1987-03-31,-0.01323575
1987-04-30,-0.03988962
1987-05-29,0.01258425
1987-06-30,0.02582911
1987-07-31,0.00803324
1987-08-31,-0.05904169
1987-09-30,0.00162348
1987-10-30,0.05431057
1987-11-30,-0.01692999
1987-12-31,0.00835925
1988-01-29,0.04415469
1988-02-29,0.0033043
1988-03-31,-0.01998427
1988-04-29,-0.02541647
1988-05-31,-0.00520483
1988-06-30,-0.00962875
1988-07-29,-0.00893175
1988-08-31,0.03565788
1988-09-30,0.01488299
1988-10-31,0.02375891
1988-11-30,-0.00070705
1988-12-30,-0.04442614
1989-01-31,-0.00066201
1989-02-28,-0.00370499
1989-03-31,-0.01005239
1989-04-28,-0.01942944
1989-05-31,-0.03793897
1989-06-30,0.0732271
1989-07-31,0.03174884
1989-08-31,0.00711113
1989-09-29,-0.04838182
1989-10-31,0.02414736
1989-11-30,-0.02475016
1989-12-29,0.01943802
1990-01-31,-0.03403647
1990-02-28,-0.02993156
1990-03-30,-0.02618451
1990-04-30,0.05838816
1990-05-31,-0.00653357
1990-06-29,0.02597323
1990-07-31,0.05079944
1990-08-31,0.04516347
1990-09-28,0.0196388
1990-10-31,-0.01307316
1990-11-30,-0.01186456
1990-12-31,-0.03435371
1991-01-31,-0.09480416
1991-02-28,-0.01976099
1991-03-28,-0.00719494
